No.,正誤,分野名,大分類,中分類,出典,学習日
43,○,マネジメント系,サービスマネジメント,サービスマネジメント,平成23年特別 問56,2021/8/31
44,○,テクノロジ系,コンピュータシステム,システム構成要素,平成23年特別 問16,2021/8/31
45,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成23年特別 問54,2021/8/31
46,○,ストラテジ系,企業と法務,企業活動,平成23年特別 問75,2021/8/31
47,×,ストラテジ系,経営戦略,ビジネスインダストリ,平成23年特別 問69,2021/8/31
48,○,テクノロジ系,技術要素,ネットワーク,平成23年特別 問39,2021/8/31
49,×,テクノロジ系,技術要素,データベース,平成23年特別 問31,2021/8/31
50,○,テクノロジ系,開発技術,システム開発技術,平成23年特別 問49,2021/8/31
51,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年特別 問13,2021/8/31
52,○,テクノロジ系,技術要素,データベース,平成23年特別 問29,2021/8/31
53,○,マネジメント系,サービスマネジメント,サービスマネジメント,平成23年特別 問58,2021/8/31
54,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成23年特別 問51,2021/8/31
55,○,テクノロジ系,技術要素,セキュリティ,平成23年特別 問44,2021/8/31
56,×,テクノロジ系,コンピュータシステム,ソフトウェア,平成23年特別 問20,2021/8/31
57,○,テクノロジ系,コンピュータシステム,ハードウェア,平成23年特別 問26,2021/8/31
58,○,テクノロジ系,基礎理論,基礎理論,平成23年特別 問4,2021/8/31
59,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年特別 問15,2021/8/31
60,○,ストラテジ系,経営戦略,経営戦略マネジメント,平成23年特別 問65,2021/8/31
61,×,テクノロジ系,技術要素,マルチメディア,平成23年特別 問28,2021/8/31
62,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成23年特別 問52,2021/8/31
63,○,テクノロジ系,技術要素,データベース,平成23年特別 問30,2021/8/31
64,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年特別 問9,2021/8/31
65,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年特別 問6,2021/8/31
66,×,ストラテジ系,企業と法務,企業活動,平成23年特別 問73,2021/8/31
67,○,テクノロジ系,技術要素,セキュリティ,平成23年特別 問43,2021/8/31
68,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年特別 問8,2021/8/31
69,○,テクノロジ系,コンピュータシステム,ソフトウェア,平成23年特別 問21,2021/8/31
70,×,テクノロジ系,技術要素,データベース,平成23年特別 問34,2021/8/31
71,○,テクノロジ系,技術要素,データベース,平成23年特別 問32,2021/8/31
72,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,平成23年特別 問5,2021/8/31
73,×,ストラテジ系,企業と法務,企業活動,平成23年特別 問74,2021/8/31
74,○,テクノロジ系,技術要素,ネットワーク,平成23年特別 問37,2021/8/31
75,○,ストラテジ系,システム戦略,システム戦略,平成23年特別 問61,2021/8/31
76,×,テクノロジ系,技術要素,ネットワーク,平成23年特別 問38,2021/8/31
77,×,ストラテジ系,経営戦略,経営戦略マネジメント,平成23年特別 問68,2021/8/31
78,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,平成23年特別 問11,2021/8/31
79,×,テクノロジ系,技術要素,データベース,平成23年特別 問35,2021/8/31
80,×,マネジメント系,サービスマネジメント,サービスマネジメント,平成23年特別 問57,2021/8/31
 ,,,,,,
